
51;133;167;132;254;27;105;19;225;163;211;243;158
233;159;10;210;167;69;245;245;21;122;9;3
216;103;87;39;158;7;163;131;224;214;63;28;254
225;233;138;230;213;100;57;94;160;63;152;31;230
209;13;59;249;69;112;6;5;219;31;25;107;169
244;36;73;42;185;221;7;157;42;71;97;100;118
192;167;249;43;26;183;78;256;110;104;212;129;174
97;79;9;61;150;78;32;29;13;247;66;6;250
155;98;136;107;96;158;174;211;61;88;92;50;122
131;30;31;168;225;227;74;200;196;138;202;239;222
144;34;252;243;73;136;195;147;173;146;22;69;33
190;124;39;50;49;117;7;109;210;204;145;210;119
166;86;70;85;42;81;228;250;220;145;91;200;113
